Alg,N,Time(sec),GFLOPS
ijk_block20,2200,6.58,3.24
ijk_block50,2200,7.69,2.77
ikj_block2,2200,6.11,3.48
ikj_block4,2200,7.44,2.86
ikj_block5,2200,7.46,2.86
ikj_block10,2200,4.51,4.72
ikj_block20,2200,6.66,3.20
ikj_block50,2200,6.45,3.30
k4ij,2200,3.29,6.48
k8ij,2200,3.17,6.71
k16ij,2200,3.35,6.36
ijk,2300,23.91,1.02
ikj,2300,6.43,3.79
jik,2300,15.01,1.62
jki,2300,25.79,0.94
kij,2300,8.70,2.80
kji,2300,25.13,0.97
i2kj,2300,5.19,4.69
ik2j,2300,5.02,4.85
ikj2,2300,6.29,3.87
k2ij,2300,4.53,5.37
ki2j,2300,6.35,3.83
kij2,2300,7.40,3.29
ik4j,2300,4.39,5.55
ik8j,2300,4.15,5.86
ik16j,2300,4.13,5.89
ijk_block2,2300,7.42,3.28
ijk_block4,2300,9.89,2.46
ijk_block5,2300,11.68,2.08
ijk_block10,2300,10.02,2.43
ijk_block20,2300,7.51,3.24
ijk_block50,2300,8.73,2.79
ikj_block2,2300,7.42,3.28
ikj_block4,2300,6.94,3.51
ikj_block5,2300,5.95,4.09
ikj_block10,2300,7.83,3.11
ikj_block20,2300,5.08,4.79
ikj_block50,2300,6.26,3.89
k4ij,2300,3.87,6.29
k8ij,2300,3.65,6.67
k16ij,2300,3.78,6.43
ijk,2400,28.17,0.98
ikj,2400,7.83,3.53
jik,2400,17.08,1.62
jki,2400,30.41,0.91
kij,2400,10.34,2.67
kji,2400,31.33,0.88
i2kj,2400,6.19,4.47
ik2j,2400,6.14,4.50
ikj2,2400,7.75,3.57
k2ij,2400,5.54,4.99
ki2j,2400,8.11,3.41
kij2,2400,9.23,3.00
ik4j,2400,5.36,5.15
ik8j,2400,5.13,5.39
ik16j,2400,5.15,5.37
ijk_block2,2400,9.23,2.99
ijk_block4,2400,11.04,2.50
ijk_block5,2400,12.75,2.17
ijk_block10,2400,11.41,2.42
ijk_block20,2400,9.87,2.80
ijk_block50,2400,10.03,2.76
ikj_block2,2400,10.55,2.62
ikj_block4,2400,10.38,2.66
ikj_block5,2400,9.24,2.99
ikj_block10,2400,8.92,3.10
ikj_block20,2400,8.64,3.20
ikj_block50,2400,6.94,3.98
k4ij,2400,4.48,6.18
k8ij,2400,4.15,6.67
k16ij,2400,4.28,6.45
ijk,2500,35.46,0.88
ikj,2500,9.11,3.43
jik,2500,19.88,1.57
